missed_payments_6months,monthly_bill_amount,payment_amount_trend,usage_trend_percent,peak_hour_usage_ratio,avg_monthly_usage_gb,service_outages_3months,network_stability_score,call_drops_per_month,cs_tickets_3months,unresolved_tickets,avg_resolution_time_hours,customer_engagement_score,app_usage_frequency_change,feature_usage_breadth,service_downgrades_6months,service_cancellation_attempts,nps_score,last_survey_rating,years_as_customer,historical_satisfaction_avg,dissatisfaction
5,34.69681089,-2.763177426,-18.89202427,0.35702341,81.16262258,2,92.11925205,14,6,2,5.977205099,89.44786248,-12.99379371,2.746269534,1,1,-41,1.413236226,3.343961776,3.003283865,1
0,128.894142,18.17458462,2.514056843,0.348187279,190.6357182,8,99.23175222,1,6,1,62.38243525,14.8087838,30.38763771,4.522515979,2,1,11,2.950314099,4.769604483,4.560874042,1
5,67.05045623,-11.7710069,22.37675015,0.743752748,149.0788489,4,84.23704782,1,6,0,36.4692189,63.57393575,-17.95103627,9.656079529,0,1,73,4.672030828,0.101441531,4.389164404,1
4,173.6377742,-7.532669726,13.93349318,0.34972772,123.745112,7,80.14833548,12,6,0,32.13406919,89.01426435,-4.17345176,7.878191639,1,0,-61,4.443864061,0.319098757,1.468329826,1
4,109.2053563,-7.688289778,18.39366887,0.363169836,39.64354168,6,95.13663452,13,9,0,44.38266222,91.19685799,22.12855486,3.877735611,2,1,-42,2.178988056,0.555205953,4.859133058,1
3,172.4106569,-8.439746611,9.527002003,0.655638957,39.63895886,7,98.10067159,4,9,0,45.31763718,79.32396998,-6.664879307,9.56443662,2,0,-56,9.947231322,5.381352259,2.055796782,1
0,124.452888,-1.258478191,11.53659387,0.469843905,21.03588631,6,90.18147664,9,7,2,10.37449756,17.61411339,29.3215536,6.81082113,0,0,-59,3.559956228,3.360881962,2.397564708,1
5,165.3485255,19.56716933,20.95173909,0.666026334,174.5734677,2,77.81811719,9,8,2,54.69258488,81.74314092,16.16843562,5.099046802,1,1,18,7.489288762,8.931040481,1.596200972,1
3,93.21535139,15.55147067,-15.01991947,0.239219695,124.2118522,1,83.68885597,11,8,4,20.59090915,27.65648124,-8.947088605,5.214701791,1,1,48,2.980240275,5.592338723,2.511211862,1
4,190.7169529,-6.882017267,-0.634502181,0.492542716,144.5337898,6,88.0374146,9,1,2,65.25229349,92.23980274,0.398192569,4.696700211,1,1,30,8.900660897,7.598963288,3.542564425,0
1,143.4169828,-3.085195371,-16.72743349,0.22016816,13.91105392,2,67.77094284,7,6,0,59.0673971,70.90866814,46.72034558,3.096928473,2,0,93,4.489824791,6.871331768,3.02431304,1
0,131.2333925,6.779229855,29.26008048,0.237591922,194.2828719,2,77.88804129,10,6,3,25.58488895,78.5267561,16.16114965,4.47968973,1,0,38,9.108122401,5.203207272,4.31015794,0
0,89.90063625,-19.31393277,26.64356038,0.743862472,168.1641018,1,93.19285059,14,3,3,58.34948982,8.50324535,40.4995226,5.751067456,1,1,-77,4.076514277,7.447204398,3.565203245,1
5,189.3212764,12.80614635,-27.63439132,0.283547223,50.34443103,3,86.18901394,8,8,1,26.30372545,58.27651134,-32.12414965,5.752246157,1,0,-51,1.077794393,5.447057029,2.054177886,1
2,87.41484804,15.19192229,12.33451035,0.519452409,44.54674377,7,76.44816269,1,7,1,8.167285396,82.11421269,-1.676384375,7.85563212,1,1,-13,5.65318388,3.854563052,3.229752126,1
5,172.096104,14.28801337,25.51489904,0.446657362,44.84685687,0,86.53450136,4,0,2,69.29406495,86.15903528,40.86616698,4.229180714,0,1,-80,5.723091425,4.358048325,1.256764504,1
1,98.73239671,-4.997824525,-19.16547929,0.408405996,67.80602616,0,64.72889648,13,1,3,47.33474308,2.863170473,-17.73879386,7.451182264,0,1,52,2.078507645,8.385013395,3.323162243,1
1,160.4212803,-1.520019705,4.076713833,0.739900007,109.703722,4,76.05990442,6,1,0,33.38306639,93.91592326,46.76641981,6.202826549,0,1,31,3.114672161,5.632735581,2.558655318,1
3,185.0192456,-19.50446712,24.92929786,0.213094038,92.06955354,4,91.72514152,14,7,0,29.24190796,4.33387333,-40.29225095,9.656608641,1,1,24,8.051460319,3.772961482,1.393593968,1
