customer_id,avg_monthly_usage_gb,usage_trend_percent,peak_hour_usage_ratio,service_outages_3months,avg_download_speed_mbps,network_stability_score,call_drops_per_month,cs_tickets_3months,avg_resolution_time_hours,unresolved_tickets,last_ticket_satisfaction,usage_change_3months,service_downgrades_6months,missed_payments_6months,payment_amount_trend,service_cancellation_attempts,support_requests_30days,negative_feedback_count,last_interaction_sentiment,interaction_frequency_trend,chat_support_satisfaction,service_quality_score,service_interruptions_30days,avg_interruption_duration_mins,service_level_achievement,customer_engagement_score,app_usage_frequency_change,feature_usage_breadth,service_exploration_score,social_media_sentiment_score,social_media_mentions_30days,community_forum_activity,public_complaint_posts,previous_churns,years_as_customer,historical_satisfaction_avg,complaint_history_score,nps_score,satisfaction_surveys_completed,last_survey_rating,would_recommend_score,contract_type,monthly_bill_amount,last_interaction_date,customer_segment,recent_complaint_text,dissatisfaction_level,primary_dissatisfaction_reason
1,81.16262258,-18.89202427,0.35702341,2,113.0510268,92.11925205,14,6,5.977205099,2,3.197958294,-26.42451722,1,5,-2.763177426,1,5,3,-0.568267205,-2.549030825,2.182209995,79.86994456,4,92.27808002,0.919730067,89.44786248,-12.99379371,2.746269534,42.51637447,0.949122367,1,8.703269261,4,1,3.343961776,3.003283865,58.26540207,-41,3,1.413236226,7.34359045,2-year,34.69681089,49:46.6,Premium,Connection keeps dropping during work calls,2,Billing Problems
2,190.6357182,2.514056843,0.348187279,8,16.08377985,99.23175222,1,6,62.38243525,1,3.713677007,-10.25203222,2,0,18.17458462,1,1,2,0.418781491,2.147222018,4.903157345,84.3290464,19,33.7962952,0.890166252,14.8087838,30.38763771,4.522515979,94.36306566,0.914200642,2,8.888230667,2,0,4.769604483,4.560874042,34.7169898,11,3,2.950314099,9.636226105,annual,128.894142,49:46.6,Premium,Service is terrible! Constant drops,1,Service Experience
3,149.0788489,22.37675015,0.743752748,4,134.9032063,84.23704782,1,6,36.4692189,0,3.430836447,8.211880751,0,5,-11.7710069,1,1,2,0.870088393,0.213947363,2.484771947,61.01605144,13,1.716898775,0.680904351,63.57393575,-17.95103627,9.656079529,50.07446082,0.712178693,3,3.672422057,0,0,0.101441531,4.389164404,78.52486778,73,4,4.672030828,2.537055576,monthly,67.05045623,49:46.6,Business,Connection keeps dropping during work calls,1,Billing Problems
4,123.745112,13.93349318,0.34972772,7,120.1197609,80.14833548,12,6,32.13406919,0,2.575911316,15.27442458,1,4,-7.532669726,0,1,3,0.130395042,1.832766104,1.090246603,69.70566918,15,14.17951662,0.875910182,89.01426435,-4.17345176,7.878191639,63.52591386,-0.978105252,6,1.829817365,3,0,0.319098757,1.468329826,66.81697598,-61,1,4.443864061,0.827250902,monthly,173.6377742,49:46.6,Business,Bill is too high for the service quality,2,Service Experience
5,39.64354168,18.39366887,0.363169836,6,27.95406552,95.13663452,13,9,44.38266222,0,2.061252428,2.5064689,2,4,-7.688289778,1,2,1,0.222868473,-2.305615093,1.590573971,79.9251707,18,105.2767428,0.604289121,91.19685799,22.12855486,3.877735611,62.41624559,0.771454416,1,8.746594341,4,1,0.555205953,4.859133058,0.541629834,-42,1,2.178988056,9.151347577,2-year,109.2053563,49:46.6,Premium,Coverage is spotty in my area,1,Service Experience
6,39.63895886,9.527002003,0.655638957,7,12.50895387,98.10067159,4,9,45.31763718,0,1.672923373,9.006527312,2,3,-8.439746611,0,4,2,-0.862134596,0.987233411,1.105354807,68.70528687,8,100.3875642,0.722044856,79.32396998,-6.664879307,9.56443662,13.25728673,-0.849875372,6,8.850973153,2,0,5.381352259,2.055796782,86.5134606,-56,3,9.947231322,2.586490346,monthly,172.4106569,49:46.6,Premium,Network quality has degraded significantly,2,Service Experience
7,21.03588631,11.53659387,0.469843905,6,85.81003342,90.18147664,9,7,10.37449756,2,3.775381545,-17.09328291,0,0,-1.258478191,0,8,4,0.728953807,-0.560663503,4.95969257,68.74738586,16,35.42508011,0.759528613,17.61411339,29.3215536,6.81082113,39.02968824,0.70238794,4,1.009060846,1,0,3.360881962,2.397564708,39.70918822,-59,0,3.559956228,7.215314473,annual,124.452888,49:46.6,Business,Great customer service experience,2,Service Experience
8,174.5734677,20.95173909,0.666026334,2,27.62519264,77.81811719,9,8,54.69258488,2,3.581594697,-22.71572763,1,5,19.56716933,1,5,0,-0.429104426,0.969602868,2.115483396,56.65433196,6,34.22345115,0.93409878,81.74314092,16.16843562,5.099046802,70.69389729,-0.439651863,7,9.669842922,2,1,8.931040481,1.596200972,64.54476006,18,2,7.489288762,0.606596378,annual,165.3485255,49:46.6,Business,Great customer service experience,1,Billing Problems
9,124.2118522,-15.01991947,0.239219695,1,126.0156881,83.68885597,11,8,20.59090915,4,3.749489863,-22.51040275,1,3,15.55147067,1,8,4,0.230102331,-2.091202678,4.694171028,97.03733615,9,95.14379845,0.756157749,27.65648124,-8.947088605,5.214701791,97.19900986,0.220136677,7,5.330805531,4,1,5.592338723,2.511211862,39.6768321,48,0,2.980240275,7.60584805,annual,93.21535139,49:46.6,Premium,Service is terrible! Constant drops,1,Service Experience
10,144.5337898,-0.634502181,0.492542716,6,56.95852522,88.0374146,9,1,65.25229349,2,2.490109811,-6.877303016,1,4,-6.882017267,1,9,2,0.958224339,2.154509636,4.983545103,87.52471922,3,112.5284964,0.604507778,92.23980274,0.398192569,4.696700211,16.80177383,-0.923863538,4,9.937301949,0,0,7.598963288,3.542564425,88.13620442,30,4,8.900660897,1.270258971,annual,190.7169529,49:46.6,Premium,Connection keeps dropping during work calls,0,None
